Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1938,AL,75,76,5,5.36,152,6158,5474,814,1602,278,72,85,768,65,37,573,379,.293,.362,.416,.778,180,179,.970,28.6
1937,AL,73,80,6,4.79,158,6259,5578,757,1559,245,84,47,691,61,35,591,503,.279,.351,.379,.730,170,181,.972,28.0
1936,AL,82,71,3,5.81,153,6096,5433,889,1601,293,84,62,823,104,42,576,398,.295,.365,.414,.779,182,163,.970,28.0
1935,AL,67,86,6,5.34,154,6296,5592,823,1591,255,95,32,762,54,37,596,406,.285,.357,.381,.739,171,186,.972,28.5
1934,AL,66,86,7,4.70,155,6166,5448,729,1512,278,70,51,680,47,42,570,447,.278,.348,.382,.731,162,167,.974,29.8
1933,AL,99,53,1,5.56,153,6212,5524,850,1586,281,86,60,793,65,50,539,395,.287,.353,.402,.754,131,149,.979,30.2
1932,AL,93,61,3,5.45,154,6142,5515,840,1565,303,100,61,776,70,47,505,442,.284,.347,.408,.755,125,157,.979,30.0
1931,AL,92,62,3,5.40,156,6187,5576,843,1588,308,93,49,788,72,64,481,459,.285,.345,.400,.745,142,148,.976,28.9
1930,AL,94,60,2,5.79,154,6117,5370,892,1620,300,98,57,819,101,67,537,438,.302,.369,.426,.795,157,150,.974,29.2
1929,AL,71,81,5,4.77,153,5999,5237,730,1445,244,66,48,656,89,63,556,400,.276,.347,.375,.723,195,156,.968,28.2
1928,AL,75,79,4,4.63,155,6018,5320,718,1510,277,93,40,680,108,63,481,390,.284,.346,.393,.740,178,146,.972,28.6
1927,AL,85,69,3,4.98,157,6126,5389,782,1549,268,87,29,696,133,52,498,359,.287,.351,.386,.737,195,125,.969,29.9
1926,AL,81,69,4,5.28,152,6011,5223,802,1525,244,97,43,723,117,91,555,369,.292,.364,.401,.765,184,129,.969,29.3
1925,AL,96,55,1,5.45,152,5993,5206,829,1577,251,71,56,747,135,92,533,427,.303,.373,.411,.783,170,166,.972,29.7
1924,AL,92,62,1,4.84,156,6101,5304,755,1558,255,88,22,688,116,85,513,392,.294,.361,.387,.749,171,149,.972,28.6
